bedrijfstak,sbi,cluster,jaar,cloud,e_facturering,ict_specialisten,online_verkoop,big_data,ai_toepassing,werkzame_personen,rang_in_jaar
"Cultuur, sport en recreatie",R,Publiek & consument,2023,95.3,80.0,45.1,36.7,33.0,42.9,160,12
"Cultuur, sport en recreatie",R,Publiek & consument,2024,98.0,87.8,50.7,41.2,33.3,47.9,160,11
Energievoorziening,D,Industrie & nuts,2015,53.3,44.3,28.3,22.9,19.1,4.6,30,4
Energievoorziening,D,Industrie & nuts,2016,61.2,50.1,34.0,24.7,23.7,6.3,30,4
Energievoorziening,D,Industrie & nuts,2017,70.4,57.1,35.1,29.6,23.6,4.1,30,4
Energievoorziening,D,Industrie & nuts,2018,77.1,63.7,39.5,33.6,25.2,2.9,30,4
Energievoorziening,D,Industrie & nuts,2019,82.9,68.9,44.7,34.2,27.7,4.1,30,4
Energievoorziening,D,Industrie & nuts,2020,90.3,79.5,43.3,35.4,29.9,6.6,30,4
Energievoorziening,D,Industrie & nuts,2021,98.0,83.2,48.2,40.0,33.0,19.5,30,5
Energievoorziening,D,Industrie & nuts,2022,98.0,90.1,52.5,40.8,34.9,39.9,30,7
Energievoorziening,D,Industrie & nuts,2023,98.0,98.0,57.4,45.4,42.2,53.7,30,6
Energievoorziening,D,Industrie & nuts,2024,98.0,98.0,59.1,50.6,42.2,61.2,30,8
Financiële dienstverlening,K,Informatie & financieel,2015,61.9,54.5,37.8,27.6,24.5,1.7,240,2
Financiële dienstverlening,K,Informatie & financieel,2016,72.0,60.8,40.1,32.2,25.7,3.9,240,2
Financiële dienstverlening,K,Informatie & financieel,2017,80.0,65.5,43.2,34.0,25.4,5.7,240,2
Financiële dienstverlening,K,Informatie & financieel,2018,87.2,75.2,47.0,38.3,31.2,4.2,240,2
Financiële dienstverlening,K,Informatie & financieel,2019,94.8,79.4,50.1,35.0,29.5,8.0,240,2
Financiële dienstverlening,K,Informatie & financieel,2020,98.0,85.7,51.0,41.1,34.2,11.3,240,2
Financiële dienstverlening,K,Informatie & financieel,2021,98.0,93.8,57.8,46.5,38.9,21.7,240,2
Financiële dienstverlening,K,Informatie & financieel,2022,98.0,98.0,61.5,46.9,37.9,41.6,240,3
Financiële dienstverlening,K,Informatie & financieel,2023,98.0,98.0,61.4,50.5,42.4,59.5,240,2
Financiële dienstverlening,K,Informatie & financieel,2024,98.0,98.0,67.2,54.2,47.3,65.4,240,2
Gezondheids- en welzijnszorg,Q,Publiek & consument,2015,37.6,29.8,19.1,15.0,14.7,2.0,1420,9
Gezondheids- en welzijnszorg,Q,Publiek & consument,2016,41.7,35.0,24.2,17.1,13.7,1.9,1420,10
Gezondheids- en welzijnszorg,Q,Publiek & consument,2017,48.6,43.3,28.3,18.1,14.7,1.2,1420,11
Gezondheids- en welzijnszorg,Q,Publiek & consument,2018,57.2,49.3,31.5,25.0,17.4,3.9,1420,9
Gezondheids- en welzijnszorg,Q,Publiek & consument,2019,68.5,56.6,35.9,29.4,23.2,3.8,1420,6
Gezondheids- en welzijnszorg,Q,Publiek & consument,2020,83.3,68.9,42.6,34.1,26.6,9.3,1420,6
Gezondheids- en welzijnszorg,Q,Publiek & consument,2021,98.0,82.2,49.8,37.9,33.8,18.6,1420,6
Gezondheids- en welzijnszorg,Q,Publiek & consument,2022,98.0,93.7,53.7,41.3,38.6,40.3,1420,4
Gezondheids- en welzijnszorg,Q,Publiek & consument,2023,98.0,98.0,61.9,48.7,41.3,57.2,1420,4
Gezondheids- en welzijnszorg,Q,Publiek & consument,2024,98.0,98.0,64.1,52.5,42.1,63.9,1420,6
Groot- en detailhandel,G,Handel & vervoer,2015,46.3,41.8,25.3,17.5,14.1,5.1,1290,5
Groot- en detailhandel,G,Handel & vervoer,2016,52.5,43.7,28.0,22.4,17.1,3.5,1290,5
Groot- en detailhandel,G,Handel & vervoer,2017,59.7,50.1,29.2,24.1,23.6,4.5,1290,5
Groot- en detailhandel,G,Handel & vervoer,2018,65.2,55.4,38.5,27.1,23.7,4.2,1290,5
Groot- en detailhandel,G,Handel & vervoer,2019,77.3,61.8,39.3,29.1,25.0,3.3,1290,5
Groot- en detailhandel,G,Handel & vervoer,2020,88.8,74.0,45.5,33.7,28.1,6.4,1290,5
Groot- en detailhandel,G,Handel & vervoer,2021,98.0,81.3,48.5,39.4,33.1,22.0,1290,4
Groot- en detailhandel,G,Handel & vervoer,2022,98.0,91.1,53.8,41.6,35.1,39.2,1290,6
Groot- en detailhandel,G,Handel & vervoer,2023,98.0,98.0,57.9,44.2,38.7,57.0,1290,7
Groot- en detailhandel,G,Handel & vervoer,2024,98.0,98.0,61.7,52.2,46.4,62.8,1290,5
Horeca,I,Publiek & consument,2015,22.6,19.3,14.0,9.8,7.0,2.0,430,16
Horeca,I,Publiek & consument,2016,28.9,24.6,17.0,11.2,11.7,4.3,430,15
Horeca,I,Publiek & consument,2017,32.8,29.8,16.6,12.4,15.6,0.4,430,16
Horeca,I,Publiek & consument,2018,39.1,31.8,21.9,15.5,12.3,4.4,430,16
Horeca,I,Publiek & consument,2019,45.9,42.5,25.3,20.8,14.9,0.6,430,16
Horeca,I,Publiek & consument,2020,60.0,47.0,30.1,26.0,21.1,7.1,430,15
Horeca,I,Publiek & consument,2021,74.1,62.8,38.3,27.7,25.5,14.6,430,15
Horeca,I,Publiek & consument,2022,82.9,71.6,42.2,34.1,26.3,29.6,430,14
Horeca,I,Publiek & consument,2023,90.0,81.8,44.0,36.0,33.6,41.2,430,14
Horeca,I,Publiek & consument,2024,98.0,90.1,46.3,40.7,33.5,48.0,430,13
Industrie,C,Industrie & nuts,2015,40.5,37.7,22.6,19.3,13.4,0.4,780,7
Industrie,C,Industrie & nuts,2016,45.5,38.5,26.7,22.2,16.9,2.5,780,8
Industrie,C,Industrie & nuts,2017,52.7,42.9,27.7,21.2,17.0,1.8,780,8
Industrie,C,Industrie & nuts,2018,57.1,48.9,28.7,24.1,19.0,7.4,780,8
Industrie,C,Industrie & nuts,2019,65.5,54.4,33.7,23.6,19.9,6.1,780,11
Industrie,C,Industrie & nuts,2020,71.3,60.8,37.9,27.5,25.8,4.9,780,11
Industrie,C,Industrie & nuts,2021,81.2,67.4,38.3,30.5,27.4,16.3,780,11
Industrie,C,Industrie & nuts,2022,86.1,72.2,40.9,35.9,31.6,31.6,780,12
Industrie,C,Industrie & nuts,2023,91.0,79.1,46.7,36.3,31.6,43.8,780,13
Industrie,C,Industrie & nuts,2024,98.0,86.6,47.8,36.0,32.0,48.3,780,14
Informatie en communicatie,J,Informatie & financieel,2015,78.0,64.9,44.4,34.3,26.4,4.9,290,1
Informatie en communicatie,J,Informatie & financieel,2016,87.6,68.6,46.3,34.5,29.5,6.6,290,1
Informatie en communicatie,J,Informatie & financieel,2017,91.5,77.5,49.8,38.8,30.0,5.3,290,1
Informatie en communicatie,J,Informatie & financieel,2018,97.6,81.4,48.3,41.0,32.8,8.6,290,1
Informatie en communicatie,J,Informatie & financieel,2019,98.0,86.8,52.7,41.8,36.1,6.3,290,1
Informatie en communicatie,J,Informatie & financieel,2020,98.0,95.5,58.9,47.0,37.3,12.6,290,1
Informatie en communicatie,J,Informatie & financieel,2021,98.0,98.0,60.1,49.7,40.4,25.0,290,1
Informatie en communicatie,J,Informatie & financieel,2022,98.0,98.0,60.7,52.9,43.7,46.4,290,1
Informatie en communicatie,J,Informatie & financieel,2023,98.0,98.0,67.1,55.2,47.9,63.7,290,1
Informatie en communicatie,J,Informatie & financieel,2024,98.0,98.0,72.5,57.5,50.3,68.1,290,1
"Landbouw, bosbouw en visserij",A,Bouw & landbouw,2015,26.0,21.7,14.7,9.5,8.4,1.8,180,15
"Landbouw, bosbouw en visserij",A,Bouw & landbouw,2016,29.5,23.7,16.2,13.8,9.4,0.7,180,16
"Landbouw, bosbouw en visserij",A,Bouw & landbouw,2017,35.0,28.4,17.1,13.8,12.8,1.6,180,15
"Landbouw, bosbouw en visserij",A,Bouw & landbouw,2018,44.3,37.9,22.5,17.5,17.9,2.6,180,15
"Landbouw, bosbouw en visserij",A,Bouw & landbouw,2019,50.7,44.0,27.9,19.8,17.3,4.3,180,15
"Landbouw, bosbouw en visserij",A,Bouw & landbouw,2020,58.4,49.9,26.9,24.9,17.9,7.8,180,16
"Landbouw, bosbouw en visserij",A,Bouw & landbouw,2021,69.0,57.4,34.2,27.6,23.8,14.9,180,16
"Landbouw, bosbouw en visserij",A,Bouw & landbouw,2022,75.7,66.8,37.4,28.7,23.5,26.9,180,16
"Landbouw, bosbouw en visserij",A,Bouw & landbouw,2023,87.8,71.8,41.9,34.7,29.6,39.6,180,16
"Landbouw, bosbouw en visserij",A,Bouw & landbouw,2024,95.9,82.4,45.5,36.7,32.1,45.4,180,16
Onderwijs,P,Publiek & consument,2015,31.4,26.3,18.9,13.3,11.6,2.1,560,12
Onderwijs,P,Publiek & consument,2016,39.4,32.0,21.3,14.8,14.3,3.3,560,12
Onderwijs,P,Publiek & consument,2017,45.7,38.5,25.4,16.6,17.3,4.3,560,12
Onderwijs,P,Publiek & consument,2018,54.3,45.3,27.7,25.2,18.0,3.4,560,12
Onderwijs,P,Publiek & consument,2019,67.2,53.6,36.6,25.7,20.0,2.6,560,10
Onderwijs,P,Publiek & consument,2020,78.5,68.6,41.3,31.1,26.1,8.2,560,7
Onderwijs,P,Publiek & consument,2021,93.6,81.2,46.9,37.7,32.1,18.0,560,7
Onderwijs,P,Publiek & consument,2022,98.0,91.6,54.3,42.7,35.4,42.4,560,5
Onderwijs,P,Publiek & consument,2023,98.0,98.0,57.6,47.3,41.2,57.0,560,5
Onderwijs,P,Publiek & consument,2024,98.0,98.0,66.4,53.3,40.4,63.7,560,4
Onroerend goed,L,Zakelijke diensten,2015,44.7,35.9,26.0,16.2,14.4,5.1,75,6
Onroerend goed,L,Zakelijke diensten,2016,49.0,40.2,28.6,20.9,15.9,1.8,75,6
Onroerend goed,L,Zakelijke diensten,2017,54.7,47.4,28.7,21.6,20.4,1.2,75,6
Onroerend goed,L,Zakelijke diensten,2018,60.7,50.6,32.6,22.6,20.0,3.2,75,6
Onroerend goed,L,Zakelijke diensten,2019,65.7,55.1,35.2,28.8,23.8,1.7,75,8
Onroerend goed,L,Zakelijke diensten,2020,72.7,60.6,38.0,29.7,26.5,8.5,75,10
Onroerend goed,L,Zakelijke diensten,2021,85.5,70.0,39.6,31.2,30.8,17.1,75,9
Onroerend goed,L,Zakelijke diensten,2022,89.1,76.2,45.6,32.7,28.1,33.6,75,10
Onroerend goed,L,Zakelijke diensten,2023,96.8,84.0,43.6,38.2,33.3,43.6,75,10
Onroerend goed,L,Zakelijke diensten,2024,98.0,86.5,49.8,37.6,35.7,50.8,75,12
Specialistische zakelijke diensten,M,Zakelijke diensten,2015,58.4,50.0,31.6,23.2,21.8,4.7,560,3
Specialistische zakelijke diensten,M,Zakelijke diensten,2016,65.8,54.3,35.3,26.5,23.6,5.1,560,3
Specialistische zakelijke diensten,M,Zakelijke diensten,2017,70.7,59.3,41.5,30.2,19.9,2.7,560,3
Specialistische zakelijke diensten,M,Zakelijke diensten,2018,79.6,65.5,42.6,34.5,25.4,2.2,560,3
Specialistische zakelijke diensten,M,Zakelijke diensten,2019,88.2,75.0,43.1,36.1,32.8,6.9,560,3
Specialistische zakelijke diensten,M,Zakelijke diensten,2020,96.0,80.7,49.2,39.3,32.1,11.0,560,3
Specialistische zakelijke diensten,M,Zakelijke diensten,2021,98.0,90.0,54.9,44.7,35.3,24.3,560,3
Specialistische zakelijke diensten,M,Zakelijke diensten,2022,98.0,98.0,59.4,48.8,40.2,43.7,560,2
Specialistische zakelijke diensten,M,Zakelijke diensten,2023,98.0,98.0,62.6,47.1,43.1,59.1,560,3
Specialistische zakelijke diensten,M,Zakelijke diensten,2024,98.0,98.0,64.8,52.7,44.4,66.0,560,3
Verhuur en overige zakelijke diensten,N,Zakelijke diensten,2015,41.5,33.3,22.4,18.1,14.5,1.4,480,8
Verhuur en overige zakelijke diensten,N,Zakelijke diensten,2016,47.1,39.3,26.4,20.4,17.0,3.0,480,7
Verhuur en overige zakelijke diensten,N,Zakelijke diensten,2017,54.0,44.7,26.4,22.3,18.7,4.3,480,7
Verhuur en overige zakelijke diensten,N,Zakelijke diensten,2018,58.5,49.3,30.6,22.3,19.3,3.8,480,10
Verhuur en overige zakelijke diensten,N,Zakelijke diensten,2019,64.1,54.2,32.2,28.2,24.7,2.7,480,9
Verhuur en overige zakelijke diensten,N,Zakelijke diensten,2020,74.9,64.8,37.5,28.7,26.8,5.3,480,9
Verhuur en overige zakelijke diensten,N,Zakelijke diensten,2021,81.1,71.0,40.1,33.0,27.4,19.7,480,10
Verhuur en overige zakelijke diensten,N,Zakelijke diensten,2022,91.8,74.1,46.2,35.4,34.1,32.9,480,9
Verhuur en overige zakelijke diensten,N,Zakelijke diensten,2023,98.0,85.2,49.0,40.7,34.9,45.5,480,9
Verhuur en overige zakelijke diensten,N,Zakelijke diensten,2024,98.0,91.2,51.6,43.3,37.4,50.2,480,10
Vervoer en opslag,H,Handel & vervoer,2015,32.6,27.7,18.7,14.8,11.1,2.4,400,11
Vervoer en opslag,H,Handel & vervoer,2016,38.6,33.0,21.0,15.8,13.7,4.4,400,11
Vervoer en opslag,H,Handel & vervoer,2017,50.6,39.7,24.0,17.8,15.3,6.8,400,10
Vervoer en opslag,H,Handel & vervoer,2018,60.4,48.9,31.6,24.6,19.9,4.3,400,7
Vervoer en opslag,H,Handel & vervoer,2019,67.0,57.0,34.6,28.8,23.9,5.3,400,7
Vervoer en opslag,H,Handel & vervoer,2020,80.8,67.0,37.1,32.1,26.4,9.7,400,8
Vervoer en opslag,H,Handel & vervoer,2021,91.4,77.6,43.9,35.3,30.8,20.4,400,8
Vervoer en opslag,H,Handel & vervoer,2022,98.0,87.2,51.0,42.2,33.9,37.6,400,8
Vervoer en opslag,H,Handel & vervoer,2023,98.0,98.0,58.4,44.1,35.8,51.7,400,8
Vervoer en opslag,H,Handel & vervoer,2024,98.0,98.0,61.0,50.0,44.4,62.1,400,7
Waterbedrijven en afvalbeheer,E,Industrie & nuts,2015,37.1,31.6,21.3,15.0,11.6,0.7,40,10
Waterbedrijven en afvalbeheer,E,Industrie & nuts,2016,42.3,34.6,26.2,17.7,14.8,2.8,40,9
Waterbedrijven en afvalbeheer,E,Industrie & nuts,2017,48.3,40.7,27.4,20.4,17.0,4.5,40,9
Waterbedrijven en afvalbeheer,E,Industrie & nuts,2018,53.0,46.6,28.9,22.8,20.4,2.7,40,11
Waterbedrijven en afvalbeheer,E,Industrie & nuts,2019,63.4,50.8,31.3,23.6,24.2,2.8,40,12
Waterbedrijven en afvalbeheer,E,Industrie & nuts,2020,72.1,55.1,36.0,26.6,23.6,4.9,40,12
Waterbedrijven en afvalbeheer,E,Industrie & nuts,2021,77.5,63.6,35.7,28.5,25.1,14.0,40,14
Waterbedrijven en afvalbeheer,E,Industrie & nuts,2022,82.0,72.5,38.0,33.1,28.0,31.7,40,15
Waterbedrijven en afvalbeheer,E,Industrie & nuts,2023,91.0,78.2,43.2,36.7,29.6,45.0,40,15
Waterbedrijven en afvalbeheer,E,Industrie & nuts,2024,98.0,82.1,46.8,41.7,32.6,46.8,40,15
