film,jaar,decennium,regisseur,genre,land,gemiddelde_shotlengte,aantal_shots,speelduur
Een winter: Het begin,1940,1940,Novak,Arthouse,Verenigde Staten,28.65,274,131
Onder de spiegel,1940,1940,Tanaka,Arthouse,Japan,24.9,340,141
Zomer in trein II,1940,1940,Laurent,Arthouse,Nederland,9.3,1039,161
Rode spoor: Terugkeer,1941,1940,De Wit,Actie,Japan,5.11,1421,121
Stille zomer: Het begin,1941,1940,Serrano,Thriller,Nederland,5.35,1065,95
Vreemde markt: Finale,1941,1940,Novak,Komedie,Zweden,13.63,506,115
Het sneeuw II,1942,1940,Vermeulen,Drama,Verenigde Staten,14.15,479,113
Nacht van rivier,1942,1940,Okada,Drama,Japan,11.95,502,100
Verloren spiegel: Het begin,1942,1940,Rossi,Actie,Japan,11.92,388,77
Brief aan belofte II,1943,1940,Novak,Drama,Frankrijk,7.26,826,100
Brief aan schaduw III,1943,1940,Lindgren,Drama,Frankrijk,36.88,211,130
Terug naar winter,1943,1940,Bakker,Komedie,Italië,17.19,356,102
Een toren,1944,1940,De Wit,Komedie,Italië,6.31,666,70
Gouden zomer,1944,1940,Kowalski,Arthouse,Verenigde Staten,31.22,242,126
Koude tuin,1944,1940,Costa,Thriller,Frankrijk,8.42,798,112
Nacht van spoor: Het begin,1945,1940,Laurent,Drama,Duitsland,9.77,657,107
Terug naar hemel: Finale,1945,1940,Novak,Drama,Verenigde Staten,6.09,1084,110
Verloren winter: Terugkeer,1945,1940,Costa,Actie,Duitsland,15.49,391,101
Brief aan spoor: Het begin,1946,1940,Andersson,Arthouse,Verenigd Koninkrijk,29.87,305,152
Gouden brug: Finale,1946,1940,Andersson,Komedie,Japan,6.92,806,93
Twaalf hemel III,1946,1940,Petrova,Drama,Duitsland,38.0,137,87
Brief aan markt: Finale,1947,1940,Ferrante,Actie,Frankrijk,7.68,1008,129
Koude tuin: Terugkeer,1947,1940,Blomqvist,Actie,Frankrijk,5.17,1137,98
Terug naar trein,1947,1940,Vermeulen,Drama,Duitsland,22.15,287,106
Eerste vuurtoren,1948,1940,Novak,Drama,Verenigde Staten,3.81,2016,128
Terug naar markt,1948,1940,Serrano,Komedie,Frankrijk,15.73,339,89
Voorbij de dans,1948,1940,Serrano,Arthouse,Verenigde Staten,13.93,439,102
Eerste winter: Finale,1949,1940,Serrano,Drama,Verenigde Staten,38.0,191,121
Terug naar dans: Terugkeer,1949,1940,Moreau,Arthouse,Hongkong,11.0,704,129
Witte tuin,1949,1940,De Wit,Arthouse,Verenigde Staten,17.53,520,152
Brief aan tuin,1950,1950,Tanaka,Thriller,Verenigde Staten,8.67,796,115
Vreemde dans: Terugkeer,1950,1950,Lindgren,Drama,Japan,6.83,940,107
Zeven tuin: Finale,1950,1950,Costa,Drama,Verenigde Staten,9.4,683,107
Blauwe vuurtoren: Terugkeer,1951,1950,Andersson,Drama,Italië,10.07,840,141
Een spiegel: Finale,1951,1950,Novak,Komedie,Duitsland,7.5,640,80
Onder de hemel: Terugkeer,1951,1950,Tanaka,Actie,Duitsland,7.57,1205,152
Gouden wachter: Terugkeer,1952,1950,Lindgren,Drama,Verenigde Staten,12.58,591,124
Koude machine: Het begin,1952,1950,Blomqvist,Komedie,Italië,8.45,568,80
Laatste haven,1952,1950,Nakamura,Drama,Frankrijk,14.62,447,109
De spoor: Finale,1953,1950,Ferrante,Drama,Hongkong,16.6,398,110
Rode belofte: Finale,1953,1950,Costa,Drama,Japan,9.6,644,103
Terug naar trein III,1953,1950,Moreau,Thriller,Verenigde Staten,8.88,595,88
Laatste belofte,1954,1950,Moreau,Komedie,Frankrijk,5.3,1087,96
Laatste grens: Het begin,1954,1950,Halvorsen,Arthouse,Verenigde Staten,16.69,395,110
Voorbij de tuin,1954,1950,Kowalski,Actie,Verenigde Staten,5.03,907,76
Het vuurtoren: Finale,1955,1950,Van Doorn,Thriller,Japan,3.98,1372,91
Koude kliff,1955,1950,Haddad,Drama,Japan,3.56,1534,91
Stille vuurtoren: Terugkeer,1955,1950,Okada,Komedie,Japan,9.83,671,110
De brug,1956,1950,Bakker,Thriller,Nederland,3.47,1954,113
Koude vuurtoren II,1956,1950,Blomqvist,Komedie,Verenigde Staten,5.68,1225,116
Verloren grens: Finale,1956,1950,Vermeulen,Thriller,Hongkong,4.82,1257,101
Brief aan grens: Het begin,1957,1950,Serrano,Drama,Duitsland,17.18,377,108
Brief aan tuin: Het begin,1957,1950,Tanaka,Actie,Japan,8.73,838,122
Nacht van wachter: Finale,1957,1950,Tanaka,Drama,Japan,10.1,743,125
Terug naar stad,1958,1950,Kowalski,Arthouse,Japan,17.0,551,156
Twaalf grens: Terugkeer,1958,1950,Ferrante,Thriller,Verenigd Koninkrijk,3.97,1678,111
Vreemde brug II,1958,1950,Yilmaz,Actie,Verenigde Staten,3.47,2524,146
Een vuurtoren: Terugkeer,1959,1950,Moreau,Drama,Italië,11.64,531,103
Rode winter: Terugkeer,1959,1950,Novak,Komedie,Japan,2.96,2007,99
Terug naar toren,1959,1950,Ferrante,Drama,Verenigde Staten,9.67,608,98
Gouden kamer II,1960,1960,Blomqvist,Drama,Duitsland,3.93,1527,100
Het haven,1960,1960,Haddad,Drama,Verenigde Staten,8.93,638,95
Nacht van sneeuw: Terugkeer,1960,1960,Blomqvist,Arthouse,Frankrijk,22.07,324,119
Zomer in hemel,1960,1960,Rossi,Actie,Zweden,3.79,2375,150
Achter de machine: Finale,1961,1960,Tanaka,Drama,Verenigd Koninkrijk,5.96,1359,135
Blauwe stad,1961,1960,Petrova,Drama,Italië,7.35,710,87
Het rivier: Het begin,1961,1960,Lindgren,Komedie,Nederland,9.78,552,90
Stille rivier: Het begin,1961,1960,Kowalski,Arthouse,Verenigde Staten,19.08,340,108
Achter de rivier: Het begin,1962,1960,Kowalski,Komedie,Italië,9.7,705,114
Blauwe grens,1962,1960,Van Doorn,Komedie,Verenigd Koninkrijk,10.01,533,89
Laatste dans,1962,1960,Rossi,Actie,Japan,5.61,1166,109
Terug naar haven,1962,1960,De Wit,Arthouse,Frankrijk,14.34,527,126
Blauwe rivier,1963,1960,Petrova,Komedie,Verenigde Staten,5.79,1016,98
Stille wachter II,1963,1960,Ferrante,Drama,Hongkong,6.52,1123,122
Vreemde kust II,1963,1960,Haddad,Actie,Verenigde Staten,9.92,714,118
Zomer in tuin,1963,1960,Petrova,Thriller,Verenigde Staten,8.58,629,90
De winter,1964,1960,De Wit,Drama,Italië,10.1,665,112
Een brug III,1964,1960,Halvorsen,Komedie,Japan,8.78,690,101
Onder de zomer,1964,1960,Okada,Komedie,Nederland,8.28,667,92
Terug naar stad: Terugkeer,1964,1960,Blomqvist,Arthouse,Verenigde Staten,15.23,496,126
De schaduw: Terugkeer,1965,1960,Ferrante,Arthouse,Verenigde Staten,30.3,230,116
Gouden kust III,1965,1960,Serrano,Actie,Hongkong,6.96,931,108
Laatste hemel III,1965,1960,Van Doorn,Drama,Verenigd Koninkrijk,14.73,554,136
Onder de rivier: Het begin,1965,1960,Yilmaz,Actie,Nederland,2.19,3260,119
Achter de haven: Terugkeer,1966,1960,Nakamura,Thriller,Verenigde Staten,5.3,1155,102
Het brug III,1966,1960,Blomqvist,Actie,Verenigde Staten,2.95,2420,119
Laatste toren: Het begin,1966,1960,Weiss,Thriller,Verenigd Koninkrijk,4.31,1768,127
Onder de grens: Het begin,1966,1960,Lindgren,Actie,Japan,4.09,1790,122
Brief aan wachter III,1967,1960,Blomqvist,Drama,Hongkong,10.94,625,114
Gouden schaduw: Het begin,1967,1960,Andersson,Drama,Japan,13.29,578,128
Laatste kliff: Het begin,1967,1960,Serrano,Actie,Verenigde Staten,2.11,2872,101
Zeven belofte,1967,1960,Laurent,Komedie,Verenigde Staten,9.24,695,107
Een haven,1968,1960,Halvorsen,Drama,Verenigde Staten,13.79,531,122
Eerste straat II,1968,1960,Vermeulen,Actie,Verenigde Staten,4.16,1601,111
Het stem,1968,1960,Weiss,Arthouse,Duitsland,17.18,374,107
Voorbij de kust: Finale,1968,1960,Tanaka,Drama,Frankrijk,16.2,374,101
Koude kliff: Finale,1969,1960,Costa,Arthouse,Verenigde Staten,7.7,943,121
Laatste tuin,1969,1960,Costa,Drama,Duitsland,7.43,840,104
Zeven kamer: Finale,1969,1960,Tanaka,Thriller,Duitsland,5.23,1147,100
Zomer in zomer,1969,1960,Van Doorn,Arthouse,Verenigd Koninkrijk,7.53,964,121
Nacht van rivier III,1970,1970,Van Doorn,Actie,Verenigde Staten,11.37,586,111
Rode wachter,1970,1970,Nakamura,Drama,Verenigde Staten,7.82,829,108
Terug naar belofte,1970,1970,Laurent,Drama,Frankrijk,7.41,737,91
Verloren spiegel,1970,1970,Vermeulen,Drama,Duitsland,9.2,593,91
Blauwe kliff: Finale,1971,1970,Kowalski,Drama,Zweden,4.99,1226,102
Brief aan hemel,1971,1970,Tanaka,Thriller,Verenigde Staten,3.89,1434,93
De kliff: Finale,1971,1970,Haddad,Thriller,Nederland,7.16,930,111
Verloren brug II,1971,1970,Blomqvist,Drama,Japan,21.28,262,93
De straat: Finale,1972,1970,Vermeulen,Thriller,Nederland,2.64,2091,92
Nacht van markt: Het begin,1972,1970,Halvorsen,Arthouse,Nederland,11.8,590,116
Twaalf stad: Het begin,1972,1970,Andersson,Komedie,Frankrijk,9.1,765,116
Voorbij de rivier,1972,1970,Weiss,Thriller,Verenigde Staten,5.2,1235,107
Twaalf hemel: Terugkeer,1973,1970,Moreau,Thriller,Verenigde Staten,3.96,1515,100
Twaalf vuurtoren: Het begin,1973,1970,Lindgren,Komedie,Frankrijk,8.63,772,111
Vreemde vuurtoren,1973,1970,Bakker,Komedie,Japan,5.38,1093,98
Zeven stem,1973,1970,Blomqvist,Komedie,Italië,3.67,1390,85
Brief aan brug,1974,1970,Petrova,Actie,Verenigde Staten,2.71,2325,105
Gouden haven: Het begin,1974,1970,Van Doorn,Drama,Duitsland,5.21,783,68
Terug naar belofte: Het begin,1974,1970,De Wit,Arthouse,Frankrijk,16.71,521,145
Terug naar wachter: Het begin,1974,1970,Bakker,Actie,Hongkong,2.3,3313,127
Gouden straat: Het begin,1975,1970,Kowalski,Drama,Verenigde Staten,8.48,821,116
Laatste toren II,1975,1970,Van Doorn,Actie,Frankrijk,1.35,6578,148
Laatste trein: Terugkeer,1975,1970,Moreau,Drama,Verenigde Staten,6.13,1008,103
Stille vuurtoren,1975,1970,Costa,Thriller,Verenigde Staten,4.57,1379,105
Gouden markt,1976,1970,Costa,Komedie,Verenigde Staten,9.58,670,107
Het brug II,1976,1970,Nakamura,Actie,Hongkong,1.58,4937,130
Terug naar toren: Het begin,1976,1970,De Wit,Komedie,Verenigde Staten,6.15,898,92
Zomer in schaduw: Het begin,1976,1970,Halvorsen,Thriller,Zweden,4.63,972,75
Achter de tuin,1977,1970,Nakamura,Drama,Verenigde Staten,3.93,1344,88
Nacht van kliff: Het begin,1977,1970,Costa,Thriller,Verenigde Staten,3.52,2165,127
Terug naar haven II,1977,1970,Andersson,Komedie,Verenigde Staten,8.97,535,80
Terug naar kust: Het begin,1977,1970,Kowalski,Actie,Italië,3.38,2574,145
Brief aan trein II,1978,1970,Novak,Actie,Verenigd Koninkrijk,4.23,1404,99
Brief aan vuurtoren,1978,1970,Rossi,Actie,Verenigde Staten,6.9,930,107
Koude winter II,1978,1970,Okada,Actie,Nederland,2.21,2281,84
Verloren kust: Terugkeer,1978,1970,Van Doorn,Komedie,Verenigd Koninkrijk,4.34,1203,87
Een sneeuw,1979,1970,Rossi,Drama,Verenigde Staten,8.39,837,117
Het vuurtoren: Het begin,1979,1970,Petrova,Drama,Italië,10.46,683,119
Terug naar tuin,1979,1970,Costa,Thriller,Verenigde Staten,4.9,1543,126
Voorbij de tuin: Het begin,1979,1970,Yilmaz,Thriller,Japan,10.33,720,124
De straat,1980,1980,Halvorsen,Drama,Verenigde Staten,8.09,927,125
Eerste kamer,1980,1980,Blomqvist,Komedie,Japan,8.71,682,99
Verloren belofte,1980,1980,Haddad,Drama,Italië,9.11,751,114
Voorbij de wachter,1980,1980,Yilmaz,Arthouse,Verenigde Staten,5.56,1230,114
Eerste machine,1981,1980,Novak,Thriller,Verenigde Staten,5.93,1022,101
Rode toren,1981,1980,Bakker,Drama,Frankrijk,7.96,1116,148
Terug naar zomer,1981,1980,Okada,Arthouse,Verenigd Koninkrijk,9.75,855,139
Vreemde zomer: Het begin,1981,1980,Novak,Komedie,Verenigde Staten,4.53,1219,92
Eerste toren,1982,1980,Andersson,Arthouse,Verenigde Staten,23.75,291,115
Rode machine: Het begin,1982,1980,Moreau,Arthouse,Frankrijk,38.0,174,110
Verloren rivier: Terugkeer,1982,1980,Andersson,Thriller,Frankrijk,3.64,1731,105
Vreemde kliff,1982,1980,Serrano,Drama,Verenigde Staten,3.65,1726,105
Een machine: Finale,1983,1980,Halvorsen,Komedie,Verenigde Staten,10.35,475,82
Verloren spiegel III,1983,1980,Kowalski,Actie,Duitsland,3.47,2127,123
Vreemde hemel: Finale,1983,1980,Vermeulen,Thriller,Nederland,4.39,1640,120
Vreemde winter,1983,1980,Ferrante,Actie,Nederland,2.2,3545,130
Achter de machine,1984,1980,Andersson,Drama,Frankrijk,5.08,1217,103
Blauwe markt: Finale,1984,1980,Bakker,Actie,Verenigde Staten,3.2,2456,131
Blauwe trein: Finale,1984,1980,Halvorsen,Arthouse,Nederland,10.93,615,112
Laatste kliff,1984,1980,Vermeulen,Drama,Italië,8.87,582,86
Een spiegel,1985,1980,Petrova,Drama,Verenigd Koninkrijk,6.36,915,97
Nacht van wachter,1985,1980,Nakamura,Komedie,Duitsland,9.02,605,91
Twaalf machine,1985,1980,Ferrante,Actie,Verenigde Staten,3.28,2470,135
Zeven wachter: Terugkeer,1985,1980,Tanaka,Actie,Verenigde Staten,5.44,1335,121
Het brug: Terugkeer,1986,1980,Van Doorn,Thriller,Italië,3.41,2235,127
Twaalf brug: Finale,1986,1980,Halvorsen,Actie,Verenigd Koninkrijk,1.9,3663,116
Witte rivier: Het begin,1986,1980,Novak,Actie,Verenigde Staten,6.28,1022,107
Witte toren: Finale,1986,1980,Haddad,Thriller,Hongkong,3.2,2212,118
Achter de dans III,1987,1980,Blomqvist,Arthouse,Verenigd Koninkrijk,9.19,725,111
Achter de wachter II,1987,1980,Weiss,Drama,Italië,5.24,1179,103
Het stad: Terugkeer,1987,1980,Laurent,Drama,Verenigde Staten,3.6,1983,119
Stille hemel II,1987,1980,Petrova,Actie,Italië,1.49,4389,109
Blauwe dans II,1988,1980,Novak,Thriller,Verenigd Koninkrijk,3.0,1920,96
Stille kliff II,1988,1980,Novak,Drama,Verenigde Staten,9.62,655,105
Twaalf rivier,1988,1980,Van Doorn,Komedie,Verenigde Staten,4.86,1074,87
Zomer in stad,1988,1980,Rossi,Arthouse,Duitsland,13.91,643,149
Achter de toren III,1989,1980,Lindgren,Komedie,Verenigde Staten,7.03,947,111
Twaalf zomer III,1989,1980,Bakker,Thriller,Japan,2.96,2615,129
Verloren stem II,1989,1980,De Wit,Thriller,Frankrijk,2.36,2771,109
Vreemde hemel III,1989,1980,Novak,Drama,Zweden,3.25,2123,115
Het markt III,1990,1990,Vermeulen,Arthouse,Verenigde Staten,10.0,774,129
Terug naar rivier: Finale,1990,1990,Yilmaz,Komedie,Hongkong,2.62,2290,100
Zeven hemel: Finale,1990,1990,Rossi,Komedie,Japan,6.88,767,88
Zeven sneeuw III,1990,1990,Nakamura,Arthouse,Italië,6.29,1259,132
Brief aan spiegel: Het begin,1991,1990,Mercier,Drama,Hongkong,5.44,1059,96
Eerste schaduw: Het begin,1991,1990,Petrova,Komedie,Verenigde Staten,4.23,1475,104
Eerste tuin: Het begin,1991,1990,Mercier,Arthouse,Verenigd Koninkrijk,22.13,352,130
Verloren haven III,1991,1990,Vermeulen,Drama,Verenigde Staten,4.92,1476,121
De stad,1992,1990,Mercier,Komedie,Verenigde Staten,4.72,1373,108
Koude zomer,1992,1990,Blomqvist,Thriller,Italië,5.05,1366,115
Terug naar spoor,1992,1990,Haddad,Thriller,Verenigde Staten,2.98,2315,115
Terug naar straat: Finale,1992,1990,Weiss,Thriller,Verenigde Staten,2.79,2194,102
Een kliff,1993,1990,De Wit,Thriller,Verenigde Staten,6.88,741,85
Stille grens: Het begin,1993,1990,Van Doorn,Arthouse,Verenigde Staten,8.21,804,110
Stille haven,1993,1990,Vermeulen,Thriller,Verenigd Koninkrijk,5.0,1416,118
Zeven dans: Het begin,1993,1990,Halvorsen,Actie,Verenigde Staten,1.79,3453,103
Blauwe stem II,1994,1990,Ferrante,Actie,Zweden,1.34,4836,108
Laatste spiegel III,1994,1990,Novak,Komedie,Italië,2.46,2537,104
Onder de stem,1994,1990,Andersson,Drama,Zweden,6.66,1090,121
Twaalf tuin III,1994,1990,Weiss,Thriller,Verenigde Staten,4.32,1125,81
Achter de kamer: Terugkeer,1995,1990,Serrano,Thriller,Verenigde Staten,2.92,2178,106
Achter de sneeuw: Finale,1995,1990,Mercier,Arthouse,Verenigde Staten,11.5,678,130
Terug naar straat III,1995,1990,Weiss,Arthouse,Nederland,6.24,1163,121
Voorbij de wachter II,1995,1990,Lindgren,Drama,Verenigde Staten,5.87,1043,102
Achter de toren: Finale,1996,1990,Vermeulen,Thriller,Frankrijk,3.09,2388,123
Eerste spiegel III,1996,1990,Andersson,Drama,Verenigd Koninkrijk,5.09,1214,103
Rode tuin: Finale,1996,1990,Halvorsen,Drama,Verenigde Staten,6.69,906,101
Zomer in haven: Finale,1996,1990,Blomqvist,Actie,Duitsland,2.59,2896,125
Blauwe schaduw,1997,1990,Laurent,Komedie,Italië,2.82,1936,91
Gouden winter: Het begin,1997,1990,Ferrante,Komedie,Duitsland,3.05,2046,104
Laatste machine: Het begin,1997,1990,Tanaka,Komedie,Verenigde Staten,5.09,908,77
Vreemde haven,1997,1990,Mercier,Drama,Verenigd Koninkrijk,2.31,2571,99
Brief aan machine,1998,1990,Bakker,Drama,Verenigde Staten,5.3,1302,115
Eerste spiegel,1998,1990,Costa,Drama,Duitsland,3.01,1874,94
Onder de stad,1998,1990,Nakamura,Drama,Duitsland,7.38,927,114
Terug naar stad II,1998,1990,Costa,Arthouse,Japan,10.83,731,132
Gouden wachter,1999,1990,Serrano,Actie,Verenigde Staten,1.7,4094,116
Onder de winter: Terugkeer,1999,1990,Halvorsen,Arthouse,Verenigde Staten,16.51,512,141
Rode dans: Terugkeer,1999,1990,Moreau,Thriller,Verenigd Koninkrijk,2.84,1838,87
Terug naar vuurtoren: Het begin,1999,1990,Serrano,Arthouse,Verenigde Staten,3.82,2010,128
Achter de haven,2000,2000,Andersson,Thriller,Verenigde Staten,0.97,6990,113
Brief aan sneeuw II,2000,2000,Laurent,Arthouse,Verenigde Staten,4.39,1613,118
Laatste spoor,2000,2000,Petrova,Actie,Nederland,1.47,3918,96
Stille dans: Finale,2000,2000,Vermeulen,Actie,Japan,1.32,4455,98
Voorbij de stad: Terugkeer,2000,2000,Nakamura,Drama,Nederland,3.4,1835,104
Zomer in grens,2000,2000,Lindgren,Komedie,Verenigd Koninkrijk,5.9,1027,101
Gouden belofte: Het begin,2001,2000,Mercier,Drama,Japan,8.6,809,116
Laatste machine,2001,2000,Moreau,Drama,Verenigde Staten,4.79,1566,125
Terug naar vuurtoren II,2001,2000,Andersson,Drama,Verenigde Staten,3.05,2282,116
Verloren wachter,2001,2000,Kowalski,Arthouse,Frankrijk,5.64,1702,160
Voorbij de vuurtoren,2001,2000,Petrova,Drama,Japan,1.83,4590,140
Zomer in dans: Terugkeer,2001,2000,Serrano,Arthouse,Verenigde Staten,6.84,1079,123
Koude toren: Het begin,2002,2000,Bakker,Arthouse,Verenigde Staten,4.9,1371,112
Onder de kamer II,2002,2000,Yilmaz,Actie,Verenigd Koninkrijk,1.32,4591,101
Rode sneeuw: Finale,2002,2000,Okada,Thriller,Verenigde Staten,3.09,2155,111
Stille dans II,2002,2000,Mercier,Drama,Verenigde Staten,2.66,2301,102
Stille zomer: Finale,2002,2000,Halvorsen,Actie,Verenigde Staten,1.15,5322,102
Zeven wachter,2002,2000,Lindgren,Komedie,Japan,1.66,3217,89
Gouden spiegel II,2003,2000,Yilmaz,Drama,Verenigde Staten,3.52,1636,96
Onder de toren: Finale,2003,2000,Rossi,Actie,Verenigd Koninkrijk,2.37,3646,144
Stille rivier III,2003,2000,Haddad,Actie,Verenigde Staten,3.31,2121,117
Verloren spoor,2003,2000,Novak,Komedie,Verenigd Koninkrijk,2.35,2681,105
Zeven zomer,2003,2000,Okada,Komedie,Italië,3.22,1770,95
Zomer in spiegel: Het begin,2003,2000,Tanaka,Drama,Verenigd Koninkrijk,2.4,3050,122
Achter de hemel: Finale,2004,2000,Mercier,Drama,Duitsland,2.96,2574,127
Achter de vuurtoren,2004,2000,Petrova,Arthouse,Verenigde Staten,4.03,1742,117
Laatste winter,2004,2000,Andersson,Actie,Verenigde Staten,2.12,3934,139
Nacht van kliff III,2004,2000,Haddad,Drama,Frankrijk,5.22,1310,114
Nacht van machine,2004,2000,Vermeulen,Arthouse,Hongkong,14.02,496,116
Onder de spoor: Het begin,2004,2000,Costa,Thriller,Verenigde Staten,2.8,2057,96
De wachter,2005,2000,Blomqvist,Drama,Duitsland,3.28,2213,121
Het grens III,2005,2000,Rossi,Arthouse,Verenigde Staten,5.1,1235,105
Terug naar zomer: Het begin,2005,2000,Petrova,Actie,Verenigde Staten,1.73,4092,118
Twaalf stem II,2005,2000,Ferrante,Thriller,Verenigde Staten,2.16,3083,111
Verloren sneeuw: Het begin,2005,2000,Rossi,Komedie,Verenigd Koninkrijk,2.05,2137,73
Zeven grens II,2005,2000,Novak,Komedie,Verenigd Koninkrijk,3.26,1620,88
Een stem: Terugkeer,2006,2000,Bakker,Drama,Japan,4.31,1350,97
Gouden schaduw III,2006,2000,Tanaka,Thriller,Verenigde Staten,2.73,2308,105
Koude kust,2006,2000,Kowalski,Thriller,Verenigde Staten,2.67,2472,110
Rode haven: Het begin,2006,2000,Nakamura,Drama,Verenigde Staten,2.3,2217,85
Rode spoor,2006,2000,Lindgren,Arthouse,Verenigde Staten,6.74,1166,131
Verloren dans: Terugkeer,2006,2000,Bakker,Actie,Verenigd Koninkrijk,1.84,4957,152
Brief aan wachter: Het begin,2007,2000,Weiss,Arthouse,Verenigd Koninkrijk,8.34,849,118
Koude markt: Het begin,2007,2000,Vermeulen,Arthouse,Italië,5.89,1457,143
Laatste grens II,2007,2000,Rossi,Actie,Verenigd Koninkrijk,2.59,2525,109
Stille wachter III,2007,2000,Novak,Thriller,Japan,1.67,3341,93
