country,iso3,region,year,happiness_score,gdp_per_capita,social_support,healthy_life_expectancy,freedom,generosity,perceived_absence_of_corruption,population_millions,rank_in_year
Germany,DEU,Europe,2023,6.914,1.604,1.527,0.857,0.578,0.222,0.282,83.5,9
Germany,DEU,Europe,2024,6.901,1.53,1.461,0.837,0.534,0.22,0.303,84.0,9
Czechia,CZE,Europe,2015,6.577,1.408,1.444,0.771,0.611,0.094,0.088,10.2,12
Czechia,CZE,Europe,2016,6.639,1.416,1.45,0.805,0.584,0.101,0.096,10.3,11
Czechia,CZE,Europe,2017,6.629,1.509,1.422,0.801,0.604,0.104,0.086,10.3,11
Czechia,CZE,Europe,2018,6.574,1.423,1.506,0.825,0.663,0.101,0.091,10.4,11
Czechia,CZE,Europe,2019,6.786,1.42,1.557,0.771,0.591,0.086,0.093,10.5,11
Czechia,CZE,Europe,2020,6.588,1.46,1.541,0.815,0.594,0.118,0.087,10.5,11
Czechia,CZE,Europe,2021,6.602,1.455,1.417,0.822,0.596,0.104,0.092,10.6,11
Czechia,CZE,Europe,2022,6.811,1.466,1.451,0.789,0.635,0.102,0.087,10.7,11
Czechia,CZE,Europe,2023,6.915,1.459,1.369,0.881,0.608,0.104,0.091,10.7,8
Czechia,CZE,Europe,2024,6.871,1.366,1.517,0.836,0.593,0.101,0.09,10.8,10
Lithuania,LTU,Europe,2015,5.941,1.32,1.478,0.658,0.462,0.082,0.063,2.7,17
Lithuania,LTU,Europe,2016,5.988,1.343,1.574,0.716,0.484,0.085,0.06,2.8,15
Lithuania,LTU,Europe,2017,6.194,1.322,1.492,0.728,0.472,0.084,0.066,2.8,14
Lithuania,LTU,Europe,2018,6.19,1.339,1.509,0.705,0.479,0.082,0.059,2.8,14
Lithuania,LTU,Europe,2019,6.372,1.297,1.525,0.696,0.457,0.078,0.059,2.8,14
Lithuania,LTU,Europe,2020,6.352,1.394,1.411,0.761,0.5,0.1,0.061,2.8,13
Lithuania,LTU,Europe,2021,6.484,1.414,1.359,0.822,0.512,0.074,0.06,2.8,12
Lithuania,LTU,Europe,2022,6.695,1.462,1.52,0.747,0.45,0.08,0.062,2.9,12
Lithuania,LTU,Europe,2023,6.715,1.365,1.479,0.704,0.465,0.079,0.061,2.9,12
Lithuania,LTU,Europe,2024,6.848,1.383,1.457,0.764,0.458,0.08,0.062,2.9,11
Mexico,MEX,Latin America,2015,6.501,1.175,1.24,0.708,0.495,0.118,0.087,121.1,13
Mexico,MEX,Latin America,2016,6.458,1.133,1.21,0.738,0.549,0.102,0.091,121.9,13
Mexico,MEX,Latin America,2017,6.562,1.038,1.321,0.736,0.56,0.112,0.095,122.6,12
Mexico,MEX,Latin America,2018,6.507,1.168,1.259,0.756,0.532,0.11,0.096,123.4,13
Mexico,MEX,Latin America,2019,6.577,1.133,1.221,0.717,0.554,0.114,0.092,124.2,12
Mexico,MEX,Latin America,2020,6.461,1.148,1.304,0.734,0.538,0.134,0.09,124.9,12
Mexico,MEX,Latin America,2021,6.443,1.135,1.222,0.768,0.558,0.105,0.092,125.7,13
Mexico,MEX,Latin America,2022,6.651,1.126,1.32,0.747,0.543,0.114,0.095,126.5,13
Mexico,MEX,Latin America,2023,6.629,1.199,1.235,0.827,0.539,0.115,0.088,127.2,13
Mexico,MEX,Latin America,2024,6.749,1.288,1.15,0.752,0.561,0.11,0.088,128.0,12
Brazil,BRA,Latin America,2015,6.749,1.063,1.214,0.683,0.447,0.136,0.098,203.4,11
Brazil,BRA,Latin America,2016,6.579,1.123,1.306,0.628,0.447,0.136,0.103,204.7,12
Brazil,BRA,Latin America,2017,6.471,1.116,1.326,0.687,0.437,0.128,0.104,206.0,13
Brazil,BRA,Latin America,2018,6.514,1.127,1.172,0.679,0.489,0.143,0.096,207.3,12
Brazil,BRA,Latin America,2019,6.4,1.102,1.346,0.668,0.502,0.126,0.101,208.5,13
Brazil,BRA,Latin America,2020,6.188,1.117,1.219,0.643,0.501,0.152,0.098,209.8,14
Brazil,BRA,Latin America,2021,6.182,1.162,1.204,0.687,0.49,0.133,0.099,211.1,14
Brazil,BRA,Latin America,2022,6.144,1.183,1.317,0.695,0.475,0.131,0.098,212.4,15
Brazil,BRA,Latin America,2023,6.159,1.109,1.269,0.684,0.458,0.133,0.095,213.7,16
Brazil,BRA,Latin America,2024,6.21,1.107,1.318,0.741,0.484,0.126,0.1,215.0,15
Japan,JPN,Asia,2015,5.999,1.284,1.385,0.926,0.491,0.11,0.247,117.3,14
Japan,JPN,Asia,2016,6.046,1.44,1.453,0.914,0.5,0.109,0.237,118.0,14
Japan,JPN,Asia,2017,5.999,1.305,1.401,0.929,0.481,0.11,0.245,118.8,16
Japan,JPN,Asia,2018,6.01,1.525,1.272,0.927,0.463,0.114,0.265,119.5,16
Japan,JPN,Asia,2019,5.88,1.427,1.449,0.929,0.511,0.1,0.248,120.3,17
Japan,JPN,Asia,2020,5.912,1.431,1.342,0.968,0.49,0.131,0.235,121.0,16
Japan,JPN,Asia,2021,5.765,1.438,1.386,0.978,0.482,0.11,0.246,121.8,18
Japan,JPN,Asia,2022,6.069,1.519,1.533,0.922,0.462,0.114,0.255,122.5,16
Japan,JPN,Asia,2023,6.125,1.505,1.385,0.934,0.518,0.106,0.223,123.3,17
Japan,JPN,Asia,2024,6.02,1.608,1.529,0.94,0.485,0.111,0.233,124.0,17
South Korea,KOR,Asia,2015,5.949,1.416,1.11,0.947,0.342,0.131,0.1,48.8,16
South Korea,KOR,Asia,2016,5.861,1.448,1.128,0.839,0.319,0.123,0.097,49.1,17
South Korea,KOR,Asia,2017,5.889,1.443,1.186,0.914,0.339,0.126,0.092,49.4,17
South Korea,KOR,Asia,2018,5.89,1.478,1.185,0.911,0.348,0.135,0.1,49.7,17
South Korea,KOR,Asia,2019,5.954,1.493,1.17,0.967,0.342,0.128,0.097,50.1,16
South Korea,KOR,Asia,2020,5.722,1.558,1.197,0.926,0.358,0.156,0.103,50.4,17
South Korea,KOR,Asia,2021,5.852,1.408,1.085,0.946,0.37,0.131,0.097,50.7,16
South Korea,KOR,Asia,2022,5.919,1.452,1.12,0.989,0.341,0.13,0.109,51.0,18
South Korea,KOR,Asia,2023,6.021,1.519,1.132,0.955,0.373,0.133,0.105,51.3,18
South Korea,KOR,Asia,2024,5.966,1.539,1.151,0.96,0.368,0.123,0.1,51.6,18
China,CHN,Asia,2015,5.154,1.104,1.146,0.815,0.54,0.031,0.101,1333.9,19
China,CHN,Asia,2016,5.117,1.227,1.164,0.794,0.478,0.03,0.096,1342.3,19
China,CHN,Asia,2017,5.284,1.171,1.161,0.809,0.483,0.032,0.097,1350.8,19
China,CHN,Asia,2018,5.241,1.152,1.125,0.773,0.493,0.03,0.095,1359.2,19
China,CHN,Asia,2019,5.412,1.234,1.192,0.805,0.503,0.03,0.1,1367.7,19
China,CHN,Asia,2020,5.384,1.176,1.003,0.814,0.482,0.051,0.098,1376.2,19
China,CHN,Asia,2021,5.419,1.288,1.066,0.784,0.472,0.027,0.092,1384.6,19
China,CHN,Asia,2022,5.652,1.171,1.073,0.778,0.512,0.029,0.099,1393.1,19
China,CHN,Asia,2023,5.72,1.271,1.25,0.863,0.503,0.03,0.107,1401.5,19
China,CHN,Asia,2024,5.856,1.206,1.181,0.844,0.501,0.029,0.095,1410.0,19
India,IND,Asia,2015,4.368,0.704,0.713,0.449,0.476,0.148,0.083,1352.8,23
India,IND,Asia,2016,4.235,0.815,0.702,0.481,0.475,0.143,0.081,1361.4,24
India,IND,Asia,2017,4.312,0.775,0.709,0.424,0.475,0.132,0.078,1369.9,23
India,IND,Asia,2018,4.214,0.791,0.687,0.456,0.486,0.138,0.083,1378.5,23
India,IND,Asia,2019,4.246,0.793,0.671,0.487,0.488,0.144,0.084,1387.1,24
India,IND,Asia,2020,3.984,0.825,0.605,0.483,0.504,0.151,0.082,1395.7,24
India,IND,Asia,2021,3.896,0.848,0.617,0.467,0.506,0.138,0.081,1404.3,24
India,IND,Asia,2022,4.017,0.84,0.68,0.479,0.445,0.147,0.08,1412.8,24
India,IND,Asia,2023,3.893,0.833,0.693,0.499,0.478,0.149,0.079,1421.4,24
India,IND,Asia,2024,4.094,0.836,0.698,0.479,0.478,0.146,0.083,1430.0,24
Vietnam,VNM,Asia,2015,5.452,0.889,1.192,0.635,0.633,0.049,0.116,93.7,18
Vietnam,VNM,Asia,2016,5.485,0.881,1.207,0.69,0.646,0.05,0.124,94.2,18
Vietnam,VNM,Asia,2017,5.598,0.856,1.146,0.729,0.653,0.052,0.112,94.8,18
Vietnam,VNM,Asia,2018,5.61,0.891,1.15,0.681,0.669,0.052,0.128,95.4,18
Vietnam,VNM,Asia,2019,5.668,0.852,1.245,0.726,0.655,0.047,0.124,96.0,18
Vietnam,VNM,Asia,2020,5.708,0.929,1.151,0.713,0.671,0.069,0.111,96.6,18
Vietnam,VNM,Asia,2021,5.77,0.937,1.176,0.734,0.635,0.05,0.119,97.2,17
Vietnam,VNM,Asia,2022,6.024,0.985,1.208,0.771,0.69,0.052,0.123,97.8,17
Vietnam,VNM,Asia,2023,6.186,0.934,1.215,0.691,0.662,0.053,0.123,98.4,15
Vietnam,VNM,Asia,2024,6.195,0.943,1.228,0.686,0.677,0.049,0.115,99.0,16
Kenya,KEN,Africa,2015,4.375,0.493,0.931,0.417,0.426,0.363,0.062,52.0,22
Kenya,KEN,Africa,2016,4.415,0.49,0.873,0.395,0.456,0.345,0.055,52.4,22
Kenya,KEN,Africa,2017,4.494,0.499,0.933,0.391,0.438,0.338,0.059,52.7,22
Kenya,KEN,Africa,2018,4.588,0.557,0.922,0.42,0.422,0.343,0.059,53.0,21
Kenya,KEN,Africa,2019,4.481,0.56,0.873,0.409,0.431,0.321,0.061,53.4,22
Kenya,KEN,Africa,2020,4.5,0.564,0.82,0.382,0.453,0.387,0.061,53.7,21
Kenya,KEN,Africa,2021,4.506,0.6,0.896,0.423,0.469,0.361,0.056,54.0,21
Kenya,KEN,Africa,2022,4.606,0.551,0.896,0.444,0.431,0.321,0.063,54.3,21
Kenya,KEN,Africa,2023,4.683,0.62,0.852,0.457,0.487,0.378,0.059,54.7,21
Kenya,KEN,Africa,2024,4.706,0.597,0.936,0.462,0.452,0.331,0.062,55.0,21
Ghana,GHA,Africa,2015,4.252,0.625,0.829,0.447,0.502,0.187,0.051,32.2,24
Ghana,GHA,Africa,2016,4.396,0.607,0.834,0.445,0.504,0.194,0.047,32.4,23
Ghana,GHA,Africa,2017,4.224,0.636,0.833,0.473,0.463,0.199,0.052,32.6,24
Ghana,GHA,Africa,2018,4.21,0.62,0.825,0.427,0.477,0.194,0.048,32.8,24
Ghana,GHA,Africa,2019,4.348,0.634,0.802,0.449,0.469,0.192,0.053,33.0,23
Ghana,GHA,Africa,2020,4.182,0.656,0.799,0.439,0.501,0.2,0.051,33.2,23
Ghana,GHA,Africa,2021,4.159,0.651,0.833,0.436,0.514,0.195,0.053,33.4,23
Ghana,GHA,Africa,2022,4.291,0.709,0.868,0.453,0.478,0.209,0.05,33.6,22
Ghana,GHA,Africa,2023,4.335,0.675,0.835,0.466,0.483,0.203,0.049,33.8,22
Ghana,GHA,Africa,2024,4.398,0.736,0.787,0.482,0.515,0.18,0.048,34.0,22
South Africa,ZAF,Africa,2015,4.688,0.871,1.364,0.37,0.428,0.095,0.047,56.8,21
South Africa,ZAF,Africa,2016,4.791,0.878,1.382,0.393,0.416,0.09,0.051,57.1,20
South Africa,ZAF,Africa,2017,4.849,0.961,1.311,0.412,0.4,0.09,0.046,57.5,20
South Africa,ZAF,Africa,2018,4.901,1.042,1.344,0.395,0.424,0.086,0.047,57.8,20
South Africa,ZAF,Africa,2019,4.946,1.008,1.361,0.418,0.404,0.086,0.053,58.2,20
South Africa,ZAF,Africa,2020,4.915,0.954,1.182,0.403,0.462,0.106,0.05,58.6,20
South Africa,ZAF,Africa,2021,4.973,0.994,1.28,0.408,0.402,0.096,0.048,58.9,20
South Africa,ZAF,Africa,2022,5.221,0.946,1.325,0.439,0.437,0.086,0.051,59.3,20
South Africa,ZAF,Africa,2023,5.253,0.992,1.366,0.426,0.407,0.09,0.045,59.6,20
South Africa,ZAF,Africa,2024,5.283,0.992,1.262,0.438,0.433,0.089,0.053,60.0,20
Egypt,EGY,Middle East,2015,4.72,0.805,1.009,0.559,0.363,0.029,0.093,99.3,20
Egypt,EGY,Middle East,2016,4.736,0.882,0.951,0.582,0.341,0.029,0.085,100.0,21
Egypt,EGY,Middle East,2017,4.72,0.845,0.91,0.539,0.344,0.028,0.089,100.6,21
Egypt,EGY,Middle East,2018,4.542,0.861,0.914,0.566,0.344,0.03,0.091,101.2,22
Egypt,EGY,Middle East,2019,4.53,0.816,0.93,0.552,0.361,0.028,0.087,101.8,21
Egypt,EGY,Middle East,2020,4.272,0.889,0.943,0.565,0.364,0.048,0.083,102.5,22
Egypt,EGY,Middle East,2021,4.293,0.925,0.924,0.583,0.357,0.029,0.093,103.1,22
Egypt,EGY,Middle East,2022,4.268,0.954,0.953,0.542,0.332,0.031,0.09,103.7,23
Egypt,EGY,Middle East,2023,4.206,0.938,0.934,0.578,0.351,0.03,0.095,104.4,23
Egypt,EGY,Middle East,2024,4.163,1.004,1.019,0.633,0.365,0.03,0.09,105.0,23
Uzbekistan,UZB,Asia,2015,5.981,0.728,1.416,0.643,0.767,0.286,0.236,34.1,15
Uzbekistan,UZB,Asia,2016,5.925,0.758,1.396,0.636,0.687,0.255,0.245,34.3,16
Uzbekistan,UZB,Asia,2017,6.086,0.847,1.418,0.666,0.762,0.282,0.242,34.5,15
Uzbekistan,UZB,Asia,2018,6.118,0.762,1.505,0.701,0.769,0.276,0.24,34.7,15
Uzbekistan,UZB,Asia,2019,6.137,0.819,1.341,0.695,0.752,0.296,0.231,34.9,15
Uzbekistan,UZB,Asia,2020,6.155,0.779,1.332,0.65,0.753,0.318,0.234,35.1,15
Uzbekistan,UZB,Asia,2021,6.094,0.8,1.517,0.717,0.704,0.26,0.234,35.4,15
Uzbekistan,UZB,Asia,2022,6.411,0.876,1.405,0.677,0.705,0.259,0.249,35.6,14
Uzbekistan,UZB,Asia,2023,6.325,0.862,1.323,0.666,0.728,0.271,0.248,35.8,14
Uzbekistan,UZB,Asia,2024,6.44,0.805,1.455,0.727,0.665,0.3,0.245,36.0,14
